CNPJ;Razao_Social;REG_ANS;Trimestre;Ano;ValorDespesas
103956000119.0;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;300136;1;2025;1082330,11082330,1336346,07367287,36745984,03745984,032020564,0802020564,083969977,2310010638,799492214,18518424,61596997,711440197,251440197,2528729013,4329300807,110247321,6510247321,65137835,52352197,4861078,163316,612363808,43138838,4315385,191770967,64241126,6686345,524789778,24319474,496329,932390813868,19344877,4843585,82199728,31255374,31136795,523360775,85716,5128615,536415709,866415709,86144421,04798467,85213913,14353833,863726025,23145166,23171274,131480155,5411328721,6311328721,63105716,48234791,6275875,8732097,311805122,22216768,131823560,59241921,7578258,827494159,62524,311107,071064731,591064731,59162197,5943416,5114521,282083,22253915,5418102566513845,18244322,37244322,3725781,3132943,327139,1935760,04146524,4780606,15-571793,67-571793,67-571793,67-571793,67-160853,53-160853,53-410940,14-422150,411210,26135255,95135255,95171795,01171795,0100000
103956000119.0;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;300136;2;2025;000001451213,3101451213,314374086,39757760,929269109,13488651,79765952,841440197,251440197,253625,492646,372464401,982464401,98347685,93111218,28283701,053725,22593291,932859,645080,51198734,49-207639,44-207639,4451416,3664210,0818904,2670845,59229663,97154869,03-824671,54-824671,54-824671,54-824671,54-305192,86-305192,86-519478,68-500916,12-18562,56315581,23303784,43378766,91364608,1657581994,758406666,2420879543,8320879543,83285502,87715511,3130884,89118448,734567888,43267299,23748466,33810589,78497122,53179114,2410115830,17644548,2512298,31472608,449938,38633801,0982501,61374888,212624562,19239487,727183792,12716,5149846,6513905839,9313905839,93293781,171781876,58502563,38732127,948140528,54327632,06296003,923090813,5221364519,9421364519,94208575,05429923,83177236,9352618,413621902,81364776,623178793,17668449,35110111,7913979002,211238690,591238690,59459513,06487596,42779177,53779177,53
103956000119.0;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;300136;3;2025;1244386,031244386,03514718,18532090,6729667,85729667,85112928,4945291,42568047,7243542,9420382,9993520,01-567219,91-567219,91-567219,91-567219,91-199876,65-199876,65-367343,26-334267,26-33076664280,43509603,7821473,15630194,330000031383409,3831383409,38305927,09617575,69344737,2168403,445471082,31634303,334834768,26935328,92132212,1520097111,077340,854142,783703357,323703357,32586802,4156569,32409243,117012,02875249,7812519,6479951783210,86400119587,91119587,9171975,7489374,122376,3796281,65517231,59211316,951147082,661147082,6637439,3223749,46168704,5816036,3317439,416315,711534287,364681144,0210015212,559541074,2474138,35885730,261528641,711528641,715597993,8850078,04288847,9215144205,23982469,0615006,7702344,1612941,26933890,41122385,65539147,233880935,47323057,4811092649,94716,5179619,1820196114,320196114,3424198,472589573,66733459,121111991,2411832358,07477119,62403523,484514579,281550603,0786687647,9987254867,930705316,3330705316,33421134,821063459,36189045,48178136,066405616,35377435,381141646,99
54991211000162.0;UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;300713;1;2025;503461,96183718,26319743,75961239,36549710,866220750,76328960,13715228,2943516,9943516,9929005674,4328775128,9915663505,0715663505,0724859,322483488,08301303,324481264,33105973,943691735,28532142,087616695,131569,6261137,5928543,58759981,724959689,644392064,05258,9217378,728687341,83126657794,36807603,15807603,15436,859886,331788,0846549,181184,74149163,3928813,51343758,3166224,41388190,096642399,476642399,47237066,29870198,18309235,62535412,73186410,231636102,314995502,334995502,335988,17907484,2568903,441076490,66679,851043722,29248822,031184783,07935,61158814,3517716,07743801,09286,8129793,84129793,8474996,959517,9952143,3780589,0380589,039617,21209,5117821,5119055,472425,522731,4435797,735039,09455736,1455736,1933,4196403,111544,84174454,76370,86172029,13230545,44230545,44230545,44230545,44230545,44194527,2236018,225642,210216,09000001421854,521421854,52724137,65752715,56697716,87697716,87
54991211000162.0;UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;300713;2;2025;1511264,031511264,03850997,69878455,09660266,34660266,34403374,8664343,931455033,45286,8279432,46279432,46188424,6614566,5792852,34150844,31150844,3116237,662316,1331848,5732449,894661,855253,7864580,6410367,94919357,38919357,381769,82198591,8626373,95351389,03704,11340528,6184885,1684885,1684885,1684885,1684885,16134711,36-49826,21200120087147,37115574,959413508,8159328623,6532770381,6332770381,6346923,425175026,45693525,939115456,73132582,327457254,261253852,8615755173,919471,6567903,3871641,91926130,362118511,298765061,22258,9223416,9817853818,762701451500,691602207,691602207,69436,8518173,095361,1491332,952971,27293392,0351132,36766365,58375,41148672,66751746,6313568169,1513568169,15629361,012368903,08542504,82535412,76565319,313219329,3910038231,0310038231,036950,541573619,44252049,642041749,2812180,492006223,56495232,452648891,893737,0300000539490,5189344,37350146,135617486,376404050,586160934,9243115,683737695,9243516,9943516,99
54991211000162.0;UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;300713;3;2025;1682875,861682875,86927277,51929388,08755598,35755598,3589704349,7789935420,9849793119,749793119,770275,297847603,81052747,3614199628,95155576,4211473480,021982434,6823750645,2311336,42888082,12216447,123021744,761987,8324130,4513040698,391154,8527333,7925869592,742700000043516,9943516,995000243315,58243315,5825932,474803,454008,2249913,319142,228477,29105324,1817735,971396198,541396198,542645,13299768,4840031,08544199,5549,89916,09508588,32-231071,21-231071,21-231071,21-231071,21-231071,21-360274,24129203,0392009200146291,82176467,35578941,23189525,61389415,626410558,026088094,215665949,3422144,913716649,152222623,662486325,582486325,58436,8534889,1410552,32143142,793420,72496752,0482966,921187314,03375,41265619,6861,321083841,6821150710,0721150710,071025863,683777992,921202107,5535412,710315929,674763134,2414361375,414361375,49088,772168689,55344713,743067986,1716462,742999570,62550023,443721133,944256,42603561,1595849,852257980,97375,3286,8504376,11504376,1196,09294335,5721154,57200200,99
1402285000150.0;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;300730;1;2025;307247,22436,282436,28894511,87894847,39894847,39894847,39501267,5408870,49-335,52-335,52-335,52-335,52-335,52-335,52
1402285000150.0;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;300730;2;2025;1774307,221774759,521774759,521774759,52976961,75830331,43-452,3-452,3-452,3-452,3-452,3-452,3253739,132319,52319,5
1402285000150.0;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;300730;3;2025;2633813,122634486,512634486,512634486,511436083,511244327,63-673,39-673,39-673,39-673,39-673,39-673,39285918,072098,412098,41
41871989000196.0;UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;301060;1;2025;14557179,8714434011,0710523603,410523603,4151243,161582739,8577609,841847,72725687,29575126,842233718,81045185,15882,363555084,1429162601874,31385,94206,834570751,59680098,23680098,23228,1832328,097286,0330633,9558688,29118488,36106648,3332579700574339,75574339,756412,33258033,3135236,79183913,590743,822509230,92509230,9149012,19628810,05295734,571134537,2912511,59189364,1991808,12227483,8371161,4771161,4758255,654024,364077,61404575577,3275577,32140921,28123168,8123168,8123168,8123168,8123168,8127807,78-4638,9800000106178,62106178,62106178,62318417,86214494,2846539,281679554209811,024078812,954015545,1463267,812112562,97
41871989000196.0;UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;301060;2;2025;203014,09203014,09203014,09384626,58231648,1550451,35181196,84214588,663550869,913490231,4560638,462148561,1500000103779,54209013,58347357,394091898,224091898,22252009,82976547,1538299,11864326,3740014,64309143,39183557,97387726,91135143,74135143,74109612,966716,369365,578090119603,7119603,7358,89339701081,6625732,7397401,35-403337,48-403337,48-403337,48-403337,48-403337,48-397505,91-5831,5728521176,9928924514,4722035941,0922035941,09406380,513138668,981250156,444161,125435261,541149934,274611131,322146132,72233,157830213,5284850,995286230,231954,56636,619540895,891310630,531310630,531076,2848850,6111284,5950047,12115885,87220752,74184272,94371,73678824,91001231297,191231297,1915139,9556006,78
41871989000196.0;UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;301060;3;2025;160664,22160664,22160664,22356600,14283601,367257,78216343,523613282,373895837,823615731,24280106,581729412,374447663244524925,0933558751,1733558751,17521413,195215775,261810299,348167,998364114,981367638,357282949,9350,373335934,6810149,1211771967,12148731,487619975,943482,411709,1513668427,191967323,771967323,771361,1796835,3413779,4103040,21197123,88312939,1258722,05371,73983887,15001895479,381895479,3820184,9850004,65147720,59239452,41638116,836709552,716709552,71463797,951540577,47741168,713049027,55116666,95526039,15221186,38761302,86188391,84188391,84150616,927766,1416514,9312135205426,22205426,22358,89339701081,6626179,7183013,61-48293,09-48293,09-48293,09-48293,09-48293,09-261929,64213636,5500000
1476619000130.0;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;301124;1;2025;253422,29253422,29253422,291294598,69397304,55148949,33248355,222167102,934339385,834125198,48214187,3537980,4737980,47843791,41628885,241628885,248674214,828766036,19764390,56764390,563982,0998454,37160053,57464395,834658,7901949,01623266,511191049,89104700,857354,98860440,45220740,0210798,461080112,22136200,69136200,69931,832064,313908,1413539,6140085,018407,8273268,83327,0220955,463848,85702,2448105,593135757,273135757,2740743,96171495,85117400,351282800,1770098,184192,91647478,444555919,674555919,67387783,63527849,222391036,21598621,69164857,6237712,8584694,0384694,0324131,6634316,4126527,1189073,9789073,9731084,18664,2342489,0548,656787,94-91821,37-91821,37-91821,37-91821,37-55008,75-22281,1-32727,65-34964,61-16299,22-18665,39-1848,01-514,05-1333,96
1476619000130.0;UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;301124;2;2025;109958,89109958,89109958,891279455,1410026,46-52482,15-52482,15-52482,15-52482,15-18798,9529948,89-48747,84-32841,92-3706,8-29135,12-841,281039,1-1880,3817666864,417719346,551591663,421591663,427223,21269221,52324849,581032490,839917,711621875,871247685,342484241,75200462,3919146,721737973,23495104,7925470,22399725,4338201,61338201,61931,838174,9410093,326017,22958,9645093,4543644,85108225,947713,171512,5456280,638826,98702,24171099,1563320316332031392,342113,53894060,37217419,722077975,76451425,3510385,83067623,389063682,19063682,1623083,79918901,954390109,683501527,16489998,55540411,04216582,92216582,9258014,292809,0266518,95177185,5177185,567640,4819054,6486136,9558,59459819,58202736,04257083,541759927,234378725,054191574,04187151,0141228,9241228,92772708,851628885,241628885,24
